Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
82,tt2120779,2013-10-02,2013-10-02,,Jason Becker: Not Dead Yet,http://www.imdb.com/title/tt2120779/,movie,8.1,87,2012,"Documentary, Biography, Music",1050,2012-03-03,Jesse Vile
83,tt2125423,2013-10-26,2013-10-26,,Five Broken Cameras,http://www.imdb.com/title/tt2125423/,movie,8.0,94,2011,"Documentary, War",5228,2011-11-23,"Guy Davidi, Emad Burnat"
84,tt1291580,2013-10-31,2013-10-31,,Behind the Candelabra,http://www.imdb.com/title/tt1291580/,tvMovie,7.0,118,2013,"Biography, Drama, Romance",35348,2013-05-21,Steven Soderbergh
85,tt2309021,2013-11-01,2013-11-01,,We Are What We Are,http://www.imdb.com/title/tt2309021/,movie,5.9,105,2013,"Drama, Horror, Thriller",17082,2013-01-18,Jim Mickle
86,tt2396495,2013-11-02,2013-11-02,,Fresh Meat,http://www.imdb.com/title/tt2396495/,movie,5.3,91,2012,"Comedy, Horror",1363,2012-10-15,Danny Mulheron
87,tt1792576,2013-11-08,2013-11-08,,Jobriath A.D.,http://www.imdb.com/title/tt1792576/,movie,7.3,102,2012,Documentary,119,2012-06-15,Kieran Turner
88,tt2325909,2013-11-11,2013-11-11,,Kerron sinulle kaiken,http://www.imdb.com/title/tt2325909/,movie,6.8,95,2013,"Drama, Romance",597,2013-03-08,Simo Halinen
89,tt0387564,2013-12-07,2013-12-07,,Saw,http://www.imdb.com/title/tt0387564/,movie,7.7,103,2004,"Crime, Horror, Mystery, Thriller",329114,2004-01-19,James Wan
90,tt0432348,2013-12-09,2013-12-09,,Saw II,http://www.imdb.com/title/tt0432348/,movie,6.6,93,2005,"Horror, Mystery",204758,2005-10-28,Darren Lynn Bousman
91,tt0489270,2013-12-10,2013-12-10,,Saw III,http://www.imdb.com/title/tt0489270/,movie,6.2,108,2006,Horror,155558,2006-10-26,Darren Lynn Bousman
92,tt0890870,2013-12-10,2013-12-10,,Saw IV,http://www.imdb.com/title/tt0890870/,movie,5.9,93,2007,"Horror, Mystery",122065,2007-10-25,Darren Lynn Bousman
93,tt1132626,2013-12-11,2013-12-11,,Saw V,http://www.imdb.com/title/tt1132626/,movie,5.8,92,2008,"Horror, Mystery",98302,2008-10-23,David Hackl
94,tt1233227,2013-12-12,2013-12-12,,Saw VI,http://www.imdb.com/title/tt1233227/,movie,6.0,90,2009,"Horror, Mystery",85602,2009-10-22,Kevin Greutert
95,tt2278871,2013-12-13,2013-12-13,,La vie d'Adèle,http://www.imdb.com/title/tt2278871/,movie,7.8,180,2013,"Drama, Romance",109725,2013-05-23,Abdellatif Kechiche
96,tt2167873,2013-12-14,2013-12-14,,Rouva Presidentti,http://www.imdb.com/title/tt2167873/,movie,5.6,90,2012,Documentary,176,2012-03-30,Aleksi Bardy
97,tt1411274,2013-12-14,2013-12-14,,Laulu koti-ikävästä,http://www.imdb.com/title/tt1411274/,movie,7.2,90,2012,"Documentary, Drama, Music, Musical",267,2012-09-23,Mika Ronkainen
98,tt0073076,2013-12-16,2013-12-16,,Grey Gardens,http://www.imdb.com/title/tt0073076/,movie,7.7,94,1975,"Documentary, Comedy, Drama",9520,1975-09-27,"David Maysles, Muffie Meyer, Ellen Hovde, Albert Maysles"
99,tt1477076,2013-12-16,2013-12-16,,Saw 3D,http://www.imdb.com/title/tt1477076/,movie,5.6,90,2010,"Horror, Mystery",76370,2010-10-22,Kevin Greutert
100,tt2106476,2013-12-19,2013-12-19,,Jagten,http://www.imdb.com/title/tt2106476/,movie,8.3,115,2012,Drama,206757,2012-05-20,Thomas Vinterberg
101,tt0100895,2013-12-21,2013-12-21,,Vääpeli Körmy ja marsalkan sauva,http://www.imdb.com/title/tt0100895/,movie,5.4,111,1990,Comedy,543,1990-11-02,Ere Kokkonen
102,tt1034314,2013-12-22,2013-12-22,,Iron Sky,http://www.imdb.com/title/tt1034314/,movie,5.9,93,2012,"Action, Comedy, Sci-Fi",83661,2012-02-11,Timo Vuorensola
103,tt2205100,2013-12-22,2013-12-22,,Uroot,http://www.imdb.com/title/tt2205100/,short,5.1,8,2011,"Short, Comedy",35,2012-09-01,Oskari Sipola
104,tt2478166,2013-12-22,2013-12-22,,Poliisi selvittää,http://www.imdb.com/title/tt2478166/,short,5.6,8,2012,"Short, Comedy",50,2012-03-08,Aleksi Salmenperä
